cle,Name-Nom,role,AwardAmount,FiscalYear-Exercice financier,Institution,Établissement,Province_ID,ProvinceEN,ProvinceFR,Competition_Year,Title,Keywords,ProgramNameEN,ProgramNameFR,DisciplineEN,DisciplineFR,MainDisciplineEN,MainDisciplineFR,Area_of_ResearchEN,Area_of_ResearchFR
6,"Audet, René",Applicant,712.00,1999,Université Laval,Université Laval,QC,Québec,Québec,1998,Dimensions génériques du recueil de textes narratifs brefs,,Queen's Fellowship - SSHRC Fund,Bourse de la Reine - fonds du CRSH,"Literature, French Canadian, Québécoise","Littérature canadienne-française, québécoise","Literature, Modern Languages and",Littératures et langues modernes,Not Subject to Research Classification,Codification non pertinente
7,"Lackenbauer, P. Whitney",Applicant,6192.39,1999,Grantee,Bénéficiaire,AB,Alberta,Alberta,1999,"The Canadian military and Aboriginal lands:  the acquisition and development of Aboriginal lands as military properties, 1910-1970",,Queen's Fellowship - SSHRC Fund,Bourse de la Reine - fonds du CRSH,History,Histoire,History,Histoire,Indigenous peoples,Populations indigènes
7,"Lackenbauer, P. Whitney",Applicant,16620.00,1999,The University of Calgary,The University of Calgary,AB,Alberta,Alberta,1999,"The Canadian military and Aboriginal lands:  the acquisition and development of Aboriginal lands as military properties, 1910-1970",,Queen's Fellowship - SSHRC Fund,Bourse de la Reine - fonds du CRSH,History,Histoire,History,Histoire,Indigenous peoples,Populations indigènes
17,"Chambers, J.K.",Applicant,25000.00,1999,University of Toronto,University of Toronto,ON,Ontario,Ontario,1994,Dialect topography of three eastern regions,sociolinguistics; dialectology,Standard Research Grants,Subventions ordinaires de recherche,Sociolinguistics,Sociolinguistique,Linguistics,Linguistique,Communication,Communications
494,"Sinclair, Robert",Applicant,25000.00,1999,University of Alberta,University of Alberta,AB,Alberta,Alberta,1997,Affective states and social judgements,affect; processing; strategy; mood; perceived justice; persuasion; attribution,Standard Research Grants,Subventions ordinaires de recherche,Social Psychology,Psychologie sociale,Psychology,Psychologie,Other,Autre
495,"Sullivan, Shirley",Applicant,5700.00,1999,University of British Columbia,University of British Columbia,BC,British Columbia,Colombie-Britannique,1997,Sophocles' and Euripides' uses of psychological terminology,Greek drama; study of ideas in early Greek thought; examination of psychological terms,Standard Research Grants,Subventions ordinaires de recherche,"Classics, Classical & Dead Languages",Études anciennes et langues classiques et mortes,"Classics, Classical & Dead Languages",Études anciennes et langues classiques et mortes,Arts and culture,Beaux-arts et culture
496,"Jackson, Heather",Applicant,6800.00,1999,University of Toronto,University of Toronto,ON,Ontario,Ontario,1997,"A study of marginalia in English, 1700-2000",marginalia; readers; reading; criticism; annotated books,Standard Research Grants,Subventions ordinaires de recherche,"Literature, English",Littérature anglaise,"Literature, Modern Languages and",Littératures et langues modernes,Arts and culture,Beaux-arts et culture
497,"Brooke, Stephen",Applicant,13000.00,1999,York University,Université York,ON,Ontario,Ontario,1997,"The British Left, women, and the question of gender, 1951-81",20th-century British politics; women; gender; labour party,Standard Research Grants,Subventions ordinaires de recherche,History,Histoire,History,Histoire,Politics and government,Politique et gouvernement
498,"Kendle, John",Applicant,6826.00,1999,University of Manitoba,University of Manitoba,MB,Manitoba,Manitoba,1997,"The British, the Westminster model, and decolonization",Decolonization; Westminster model; federalism; British constitution,Standard Research Grants,Subventions ordinaires de recherche,Political History,Histoire politique,History,Histoire,Politics and government,Politique et gouvernement
499,"Shaw, David",Applicant,1500.00,1999,University of Toronto,University of Toronto,ON,Ontario,Ontario,1997,The rise of the monologue: Victorian poetics and the truth of masks,History of Victorian poetics and thought; theory of genre; rhetoric,Standard Research Grants,Subventions ordinaires de recherche,"Literature, English",Littérature anglaise,"Literature, Modern Languages and",Littératures et langues modernes,Arts and culture,Beaux-arts et culture
500,"Wolf, Kirsten",Applicant,3570.00,1999,University of Manitoba,University of Manitoba,MB,Manitoba,Manitoba,1997,Life of Saint Mary of Egypt: the old Norse-Icelandic edition,Paleography and philology; text-editing; hagiography; old Norse-Icelandic; mediaeval Latin,Standard Research Grants,Subventions ordinaires de recherche,Mediaeval Literature,Littérature médiévale,Mediaeval Studies,Études médiévales,Arts and culture,Beaux-arts et culture
501,"Amoako-Adu, Ben",Applicant,2000.00,1999,Wilfrid Laurier University,Wilfrid Laurier University,ON,Ontario,Ontario,1997,Dual class capitalization and capital structure effects,Dual class; equity capitalization; capital structure; restricted shares,Standard Research Grants,Subventions ordinaires de recherche,"Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce","Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce",Financial and Monetary Systems,Systèmes financiers et monétaires
503,"Redford, Donald",Applicant,7700.00,1999,University of Toronto,University of Toronto,ON,Ontario,Ontario,1997,Investigation and documentation of the tomb of Parennefer,Archaeology; ancient studies; egyptian; art history,Standard Research Grants,Subventions ordinaires de recherche,"Classics, Classical & Dead Languages",Études anciennes et langues classiques et mortes,"Classics, Classical & Dead Languages",Études anciennes et langues classiques et mortes,Arts and culture,Beaux-arts et culture
504,"McDonald, Lynn",Applicant,15400.00,1999,University of Guelph,University of Guelph,ON,Ontario,Ontario,1997,Collected works of Florence Nightingale,History of sociology; statistics; political theory and philosophy,Standard Research Grants,Subventions ordinaires de recherche,Sociology,Sociologie,Sociology,Sociologie,Not Subject to Research Classification,Codification non pertinente
505,"Kirschner, Teresa",Applicant,11600.00,1999,Simon Fraser University,Simon Fraser University,BC,British Columbia,Colombie-Britannique,1997,The epic drama of Lope de Vega,Golden Age Spanish theatre-staging techniques; old Spanish chronicles/ballads,Standard Research Grants,Subventions ordinaires de recherche,"Literature, Romance - Criticism",Littérature romane - Critique littéraire,"Literature, Modern Languages and",Littératures et langues modernes,Arts and culture,Beaux-arts et culture
506,"Osborne, John",Applicant,11000.00,1999,University of Victoria,University of Victoria,BC,British Columbia,Colombie-Britannique,1997,Early medieval Rome: a history in art,material culture of early mediaeval Italy,Standard Research Grants,Subventions ordinaires de recherche,Art History,Histoire de l'art,Fine Arts,Beaux-arts,Arts and culture,Beaux-arts et culture
507,"Bradley, Keith",Applicant,9000.00,1999,University of Victoria,University of Victoria,BC,British Columbia,Colombie-Britannique,1997,The apology of Apuleius: a social and cultural study,Roman social and cultural history; religious history; family history,Standard Research Grants,Subventions ordinaires de recherche,Other Classics,Études anciennes (autres),"Classics, Classical & Dead Languages",Études anciennes et langues classiques et mortes,Other,Autre
508,"Yarmey, Alexander",Applicant,28000.00,1999,University of Guelph,University of Guelph,ON,Ontario,Ontario,1997,Speaker identification and eyewitness testimony,Confidence; voice description eyewitness; earwitness;source identification; recall; recognition disguises,Standard Research Grants,Subventions ordinaires de recherche,Psychology,Psychologie,Psychology,Psychologie,Law and justice,Droit et justice
509,"Bashevkin, Sylvia",Applicant,15000.00,1999,University of Toronto,University of Toronto,ON,Ontario,Ontario,1997,Comparing the evolution of Anglo-American welfare states,Public policy; neo-liberalism; comparative politics; welfare states,Standard Research Grants,Subventions ordinaires de recherche,Comparative Politics,Politique comparée,Political Science,Sciences politiques,Politics and government,Politique et gouvernement
510,"Ericson, Richard",Applicant,6000.00,1999,University of British Columbia,University of British Columbia,BC,British Columbia,Colombie-Britannique,1997,A study of insurance as governance,security; risk; fear; insurance; institutions; welfare state; governance regulation; marketing; consumption,Standard Research Grants,Subventions ordinaires de recherche,Social Institutions,Institutions sociales,Sociology,Sociologie,Politics and government,Politique et gouvernement
511,"Mulchahey, Michele",Applicant,9900.00,1999,University of Victoria,University of Victoria,BC,British Columbia,Colombie-Britannique,1997,"Jacopo Passavanti at Santa Maria Novella: Dominican life, learning and art in fourteenth-century Florence",the friars; mediaeval religious culture; learning; literature; literacy; art; architecture,Standard Research Grants,Subventions ordinaires de recherche,Mediaeval Religion,Religion médiévale,Mediaeval Studies,Études médiévales,Literacy,Alphabétisation
512,"Vinet, Marie-Thérèse",Applicant,19900.00,1999,Université de Sherbrooke,Université de Sherbrooke,QC,Québec,Québec,1997,La représentation de la variation dans le cadre de la théorie minimaliste en linguistique,Variation et systèmes micro-paramétriques,Standard Research Grants,Subventions ordinaires de recherche,Syntax,Syntaxe,Linguistics,Linguistique,Not Subject to Research Classification,Codification non pertinente
513,"Dostie, Gaétane",Applicant,15000.00,1999,Université de Sherbrooke,Université de Sherbrooke,QC,Québec,Québec,1997,Les glissements grammaticaux et discursifs d'unités lexicales pleines en français québécois,Sémantique; lexicographie théorique; pragmatique; grammaire; francais québécois,Standard Research Grants,Subventions ordinaires de recherche,Linguistics,Linguistique,Linguistics,Linguistique,Not Subject to Research Classification,Codification non pertinente
514,"Barnes, Timothy",Applicant,16950.00,1999,University of Trinity College,University of Trinity College,ON,Ontario,Ontario,1997,Early Christian hagiography and the history of the Roman empire,Hagiography; saints; history; Rome; legends; Christianity,Standard Research Grants,Subventions ordinaires de recherche,Church History,Histoire de l'Église,Religious Studies,Études religieuses,Arts and culture,Beaux-arts et culture
515,"Pratt, Robert  Cranford",Applicant,3590.00,1999,University of Toronto,University of Toronto,ON,Ontario,Ontario,1997,Canadian development assistance and Canadian foreign policy,Development assistance: ethics and public policy; CIDA; Canadian foreign policy,Standard Research Grants,Subventions ordinaires de recherche,Government and Public Administration,Gouvernement et administration publique,Political Science,Sciences politiques,Politics and government,Politique et gouvernement
516,"Varnhagen, Connie",Applicant,22000.00,1999,University of Alberta,University of Alberta,AB,Alberta,Alberta,1997,Children's spelling development,spelling; strategies; cognitive development; instructional psychology; literacy; education,Standard Research Grants,Subventions ordinaires de recherche,Reading and Writing,Lecture et écriture,Education,Éducation,Literacy,Alphabétisation
