cle,Name-Nom,role,AwardAmount,FiscalYear-Exercice financier,Institution,Établissement,Province_ID,ProvinceEN,ProvinceFR,Competition_Year,Title,Keywords,ProgramNameEN,ProgramNameFR,DisciplineEN,DisciplineFR,MainDisciplineEN,MainDisciplineFR,Area_of_ResearchEN,Area_of_ResearchFR
11,"Stephens, Christianne V.",Applicant,4861.88,2004,Grantee,Bénéficiaire,ON,Ontario,Ontario,2003,Culturing TB:  toward a biocultural understanding of tuberculosis in residential schools and its effect on the health of Aboriginal Canadians,Canadian Aboriginal health; tuberculosis; residential schools; epidemiology; medical anthropology,Queen's Fellowship - SSHRC Fund,Bourse de la Reine - fonds du CRSH,Anthropology,Anthropologie,Anthropology,Anthropologie,Indigenous peoples,Populations indigènes
3004,"O'Brien, Patricia",Applicant,17000.00,2004,University of Waterloo,University of Waterloo,ON,Ontario,Ontario,2000,Financial analysts' role in capital markets,financial analysts; capital markets; information environment; investment decisions; selection; quantitative methods; censored or truncated distribution; ordered probit or logit,Standard Research Grants,Subventions ordinaires de recherche,Accounting,Comptabilité,"Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce",Management,Gestion
3103,"Kerr, Ian",Applicant,1080.00,2004,University of Manitoba,University of Manitoba,MB,Manitoba,Manitoba,2001,Railways in the making of modern India,India; history; colonialism; railways; socio-economic change; labour-management; technology,Standard Research Grants,Subventions ordinaires de recherche,History,Histoire,History,Histoire,Communication,Communications
3113,"Hayter, Roger",Applicant,3250.00,2004,Simon Fraser University,Simon Fraser University,BC,British Columbia,Colombie-Britannique,2001,"Environmentalism, flexible specialization and BC's forest economy",Resource regions; green paradigm; flexible specialization; environmentalism; forest economies; British Columbia; wood processing; value added activity; forest policy,Standard Research Grants,Subventions ordinaires de recherche,Economic Geography,Géographie économique,Geography,Géographie,Economic and Regional Development,Développement économique et régional
3122,"Cameron, Catherine Ann",Applicant,29275.00,2004,University of British Columbia,University of British Columbia,BC,British Columbia,Colombie-Britannique,2001,Young children's telephone-mediated narrative communications,telephone communication; language development; cognitive development; emergent literacy; recontextualization; narratives; discourse processes; socio-emotional development,Standard Research Grants,Subventions ordinaires de recherche,Early Childhood Education,Éducation préscolaire,Education,Éducation,Education,Éducation
3140,"Robson, Arthur",Applicant,16860.00,2004,Simon Fraser University,Simon Fraser University,BC,British Columbia,Colombie-Britannique,2001,The evolutionary origin of human economic characteristics,Biological evolution; utility functions; rationality; intelligence; longevity; hunter-gatherer,Standard Research Grants,Subventions ordinaires de recherche,Economics,Science économique,Economics,Sciences économiques,Not Subject to Research Classification,Codification non pertinente
3159,"Stark, Andrew",Applicant,3140.00,2004,University of Toronto,University of Toronto,ON,Ontario,Ontario,2001,Border battles: redrawing the public-private boundary in American politics,political science; political theory; american politics; American public policy; American state and local government,Standard Research Grants,Subventions ordinaires de recherche,Political Thought and Political Theory,Pensée et théories politiques,Political Science,Sciences politiques,Politics and government,Politique et gouvernement
3170,"Marchak, M. Patricia",Applicant,30000.00,2004,University of British Columbia,University of British Columbia,BC,British Columbia,Colombie-Britannique,2001,Strategies for dealing with crimes against humanity committed by former regimes,truth; justice; accountability; reconciliation; investigations; commissions; state terrorism; politicide; ethnocide; genocide; civil war,Standard Research Grants,Subventions ordinaires de recherche,Social Institutions,Institutions sociales,Sociology,Sociologie,Law and justice,Droit et justice
3182,"Harvey, Fernand",Applicant,20000.00,2004,Institut national de la recherche scientifique,Institut national de la recherche scientifique,QC,Québec,Québec,2001,"Stratégies des acteurs culturels régionaux et institutionnalisation : six études de cas à Québec, Trois-Rivières et Rimouski",espaces culturels régionaux; institutionnalisation culturelle; acteurs et interaction sociale; régions; nations et mondialisation,Standard Research Grants,Subventions ordinaires de recherche,Social Processes,Interactions sociales,Sociology,Sociologie,Arts and culture,Beaux-arts et culture
3205,"Troper, Harold",Applicant,11000.00,2004,University of Toronto,University of Toronto,ON,Ontario,Ontario,2001,Eighteen months of upheaval; North American Jews in the late 1960s,history of North American Jews; archival research; ethnic studies; oral history,Standard Research Grants,Subventions ordinaires de recherche,Social History,Histoire sociale,History,Histoire,Multiculturalism and ethnic studies,Multiculturalisme et études ethniques
3207,"McTavish, Lianne",Applicant,7819.00,2004,University of New Brunswick,University of New Brunswick,NB,New Brunswick,Nouveau-Brunswick,2001,Modern museums and the world of objects: exchanging identities at the New Brunswick museum (1842-2002),museums; collecting; classification; gender; class; race; institutional exchanges; regional and national identities,Standard Research Grants,Subventions ordinaires de recherche,Art History,Histoire de l'art,Fine Arts,Beaux-arts,Arts and culture,Beaux-arts et culture
3212,"Gorsuch, Anne",Applicant,5000.00,2004,University of British Columbia,University of British Columbia,BC,British Columbia,Colombie-Britannique,2001,Better red:  Soviet culture and identity in the Cold War,Soviet history; Cold War; cultural history; exhibitions; travel accounts,Standard Research Grants,Subventions ordinaires de recherche,History,Histoire,History,Histoire,"International relations, development and trade","Relations internationales, commerce et développement"
3213,"Hayden, Brian",Applicant,5000.00,2004,Simon Fraser University,Simon Fraser University,BC,British Columbia,Colombie-Britannique,2001,The ethnoarchaeology of feasting,feasting; ethnoarchaeology; cultural ecology; Indonesia; Polynesia; megaliths,Standard Research Grants,Subventions ordinaires de recherche,Archaeology - General: Theory and Method,Archéologie générale : théories et méthodes,Archaeology,Archéologie,Indigenous peoples,Populations indigènes
