cle,Name-Nom,role,AwardAmount,FiscalYear-Exercice financier,Institution,Établissement,Province_ID,ProvinceEN,ProvinceFR,Competition_Year,Title,Keywords,ProgramNameEN,ProgramNameFR,DisciplineEN,DisciplineFR,MainDisciplineEN,MainDisciplineFR,Area_of_ResearchEN,Area_of_ResearchFR
1,"Fogarassy, Josef",Applicant,1399.00,1998,Grantee,Bénéficiaire,XX,Other in Canada,Autre au Canada,1997,Technology transfer: from Canada to the developing world,,Master's Scholarships in Science Policy,Bourses de maîtrise en politique scientifique,Law,Droit,Law,Droit,Economic and Regional Development,Développement économique et régional
2,"Scott, Dayna",Applicant,14436.00,1998,Grantee,Bénéficiaire,XX,Other in Canada,Autre au Canada,1997,Integrated marine resource management in Atlantic Canada,,Master's Scholarships in Science Policy,Bourses de maîtrise en politique scientifique,Other Law,Droit (autres),Law,Droit,Fisheries,Pêches
3,"Leger, Pierre-Majorique",Applicant,14436.00,1998,Grantee,Bénéficiaire,XX,Other in Canada,Autre au Canada,1997,Aspects stratégiques de la gestion de la technologie,,Master's Scholarships in Science Policy,Bourses de maîtrise en politique scientifique,Other Administrative Studies,Sciences administratives (autres),"Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce",Management,Gestion
4,"McLay, Robin",Applicant,15691.00,1998,Grantee,Bénéficiaire,XX,Other in Canada,Autre au Canada,1997,"The interplay between science and politics: how scientific information can be accessed, utilized and integrated into sustainable development policy",,Master's Scholarships in Science Policy,Bourses de maîtrise en politique scientifique,Public Policy Studies,Analyse de politique,Political Science,Sciences politiques,Science and technology,Science et technologie
5,"Taves, Lana",Applicant,14436.00,1998,Grantee,Bénéficiaire,XX,Other in Canada,Autre au Canada,1997,Public involvement in coastal zone management of Northern Vancouver Island,,Master's Scholarships in Science Policy,Bourses de maîtrise en politique scientifique,Resource Management,Gestion des ressources,"Urban and Regional Studies, Environmental Studies","Urbanisme, aménag. régional, études environnementales",Environment and Sustainability,Environnement et développement durable
6,"Audet, René",Applicant,19592.00,1998,Grantee,Bénéficiaire,XX,Other in Canada,Autre au Canada,1998,Dimensions génériques du recueil de textes narratifs brefs,,Queen's Fellowship - SSHRC Fund,Bourse de la Reine - fonds du CRSH,"Literature, French Canadian, Québécoise","Littérature canadienne-française, québécoise","Literature, Modern Languages and",Littératures et langues modernes,Not Subject to Research Classification,Codification non pertinente
18,"Crowley, John",Applicant,3700.00,1998,Dalhousie University,Dalhousie University,NS,Nova Scotia,Nouvelle-Écosse,1995,"Social and cultural history of comfort in Britain and Anglo-America, 1500-1850",comfort; material culture; illumination; heating; Britain; America,Standard Research Grants,Subventions ordinaires de recherche,Cultural History,Histoire culturelle,History,Histoire,Family,Famille
19,"Hodgson, M. John",Applicant,12000.00,1998,University of Alberta,University of Alberta,AB,Alberta,Alberta,1996,"Develop geographic information system tools to identify, assess, and combat the effects of data error in location-allocation analysis",Geographic information systems; location-allocation analysis; facility location; data error,Standard Research Grants,Subventions ordinaires de recherche,Geography,Géographie,Geography,Géographie,"Economic, regional and industrial development","Développement économique, régional et industriel"
20,"Parenteau, René",Applicant,25900.00,1998,Université de Montréal,Université de Montréal,QC,Québec,Québec,1996,Stratégies de développement durable : politiques locales et pratiques d'urbanisme,Environnement; municipalités; gestion environnementale; planification environnementale; gestion locale,Standard Research Grants,Subventions ordinaires de recherche,"Urban and Regional Studies, Environmental Studies","Urbanisme, aménag. régional, études environnementales","Urban and Regional Studies, Environmental Studies","Urbanisme, aménag. régional, études environnementales",Environment and Sustainability,Environnement et développement durable
21,"Beckett, Sandra",Applicant,4913.00,1998,Brock University,Brock University,ON,Ontario,Ontario,1996,Intertextuality in twentieth-century French children's literature,French children's literature; 20th-century; theory; intertextuality; retelling; rewriting; reversions,Standard Research Grants,Subventions ordinaires de recherche,"Literature, French",Littérature française,"Literature, Modern Languages and",Littératures et langues modernes,Arts and culture,Beaux-arts et culture
22,"Cyr, Mary",Applicant,5922.00,1998,University of Guelph,University of Guelph,ON,Ontario,Ontario,1996,"The cantatas of Rameau and Bernier: chronology, style, and performance",18th-century French cantata; manuscript studies performance practice,Standard Research Grants,Subventions ordinaires de recherche,"Music, Musicology","Musique, Musicologie",Fine Arts,Beaux-arts,Arts and culture,Beaux-arts et culture
23,"Clark, Raymond",Applicant,4307.00,1998,Memorial University of Newfoundland,Memorial University of Newfoundland,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,1996,Studies of 14th and 15th century Latin prose balneological treatises of the Phlegraean fields (southern Italy),palaeography; codicology; editorial technique; textual criticism; philology; commentary,Standard Research Grants,Subventions ordinaires de recherche,"Classics, Classical & Dead Languages",Études anciennes et langues classiques et mortes,"Classics, Classical & Dead Languages",Études anciennes et langues classiques et mortes,Arts and culture,Beaux-arts et culture
24,"Lambek, Michael",Applicant,11700.00,1998,University of Toronto,University of Toronto,ON,Ontario,Ontario,1996,"Imagined continuities: Northern Malagasy constructions of self, society and history",ethnography; local constructions of history; ritual; social organization; selfhood; spirit possession,Standard Research Grants,Subventions ordinaires de recherche,Cultural Anthropology,Anthropologie culturelle,Anthropology,Anthropologie,Indigenous peoples,Populations indigènes
25,"Beghtol, Clare",Applicant,7044.00,1998,University of Toronto,University of Toronto,ON,Ontario,Ontario,1996,Domain analysis in the social sciences: development of theory and methodology,domain analysis; subject analysis; social sciences; information storage and retrieval systems; thesauri; documentation languages; classification systems subject access systems,Standard Research Grants,Subventions ordinaires de recherche,"Collections (acquisition, cataloguing, classification)","Collections : acquisition, catalogage, classification",Library and Information Science,Bibliothéconomie et science de l'information,Other,Autre
26,"Hutcheon, Linda",Applicant,12812.00,1998,University of Toronto,University of Toronto,ON,Ontario,Ontario,1996,"A collaborative investigation into the cultural meanings given to death, through opera libretti, productions, literary sources, medical and historical contexts",Collaborative research; death studies; history of medicine; cultural studies,Standard Research Grants,Subventions ordinaires de recherche,"Literature, Comparative",Littérature comparée,"Literature, Modern Languages and",Littératures et langues modernes,Arts and culture,Beaux-arts et culture
