cle,Name-Nom,role,AwardAmount,FiscalYear-Exercice financier,Institution,Établissement,Province_ID,ProvinceEN,ProvinceFR,Competition_Year,Title,Keywords,ProgramNameEN,ProgramNameFR,DisciplineEN,DisciplineFR,MainDisciplineEN,MainDisciplineFR,Area_of_ResearchEN,Area_of_ResearchFR
7,"Lackenbauer, P. Whitney",Applicant,912.00,2000,Grantee,Bénéficiaire,AB,Alberta,Alberta,1999,"The Canadian military and Aboriginal lands:  the acquisition and development of Aboriginal lands as military properties, 1910-1970",,Queen's Fellowship - SSHRC Fund,Bourse de la Reine - fonds du CRSH,History,Histoire,History,Histoire,Indigenous peoples,Populations indigènes
8,"St. Germain, Jill",Applicant,502.00,2000,Grantee,Bénéficiaire,AB,Alberta,Alberta,2000,"A comparison of the implementation of Canadian and American Indian treaty policy in the plains west, 1868-1885",,Queen's Fellowship - SSHRC Fund,Bourse de la Reine - fonds du CRSH,Political History,Histoire politique,History,Histoire,Politics and government,Politique et gouvernement
8,"St. Germain, Jill",Applicant,3967.00,2000,Grantee,Bénéficiaire,ON,Ontario,Ontario,2000,"A comparison of the implementation of Canadian and American Indian treaty policy in the plains west, 1868-1885",,Queen's Fellowship - SSHRC Fund,Bourse de la Reine - fonds du CRSH,Political History,Histoire politique,History,Histoire,Politics and government,Politique et gouvernement
8,"St. Germain, Jill",Applicant,16620.00,2000,The University of Calgary,The University of Calgary,AB,Alberta,Alberta,2000,"A comparison of the implementation of Canadian and American Indian treaty policy in the plains west, 1868-1885",,Queen's Fellowship - SSHRC Fund,Bourse de la Reine - fonds du CRSH,Political History,Histoire politique,History,Histoire,Politics and government,Politique et gouvernement
1097,"Cheetham, Mark",Applicant,3433.00,2000,University of Toronto,University of Toronto,ON,Ontario,Ontario,1998,The rhetoric of impurity: abstract art in society,art; abstraction; purity; impurity,Standard Research Grants,Subventions ordinaires de recherche,Art History,Histoire de l'art,Fine Arts,Beaux-arts,Arts and culture,Beaux-arts et culture
1097,"Cheetham, Mark",Applicant,1144.00,2000,University of Western Ontario,University of Western Ontario,ON,Ontario,Ontario,1998,The rhetoric of impurity: abstract art in society,art; abstraction; purity; impurity,Standard Research Grants,Subventions ordinaires de recherche,Art History,Histoire de l'art,Fine Arts,Beaux-arts,Arts and culture,Beaux-arts et culture
1098,"Keselman, Harvey",Applicant,26316.00,2000,University of Manitoba,University of Manitoba,MB,Manitoba,Manitoba,1998,Improving recent approaches to the analysis of repeated measurements,robust estimation; bootstrapping; assumption violations; type I errors; power,Standard Research Grants,Subventions ordinaires de recherche,Psychometrics,Psychométrie,Psychology,Psychologie,Other,Autre
1099,"Porteous, J. Douglas",Applicant,13000.00,2000,University of Victoria,University of Victoria,BC,British Columbia,Colombie-Britannique,1998,"Modernizing Rapanui: the transformation of Easter Island's cultural landscape, 1979-2000 A.D.",cultural landscape; development; Easter Island; landscape transformation; modernization; planning; Rapanui,Standard Research Grants,Subventions ordinaires de recherche,Geography,Géographie,Geography,Géographie,"Economic, regional and industrial development","Développement économique, régional et industriel"
1100,"Donaldson, Terence",Applicant,1150.00,2000,Wycliffe College,Wycliffe College,ON,Ontario,Ontario,1998,The gentilization of early Christianity and the struggle for success,Christian origins; Gentile mission; Jewish universalism; religion in urban context,Standard Research Grants,Subventions ordinaires de recherche,New Testament Studies,Études du Nouveau Testament,Religious Studies,Études religieuses,Other,Autre
1101,"Marta, Jan",Applicant,15185.00,2000,University of Toronto,University of Toronto,ON,Ontario,Ontario,1998,Articulating Ricoeur and Lacan: toward a theory and model of the subject,Benveniste; hermeneutics; Jakobson; Lacan; linguistics; poststructuralism; psychoanalytics thought; Ricoeur; de Saussure; subjectivity,Standard Research Grants,Subventions ordinaires de recherche,Interdisciplinary Studies,Études pluridisciplinaires,Interdisciplinary Studies,Études pluridisciplinaires,Other,Autre
1102,"Mensch, James",Applicant,10200.00,2000,St. Francis Xavier University,St. Francis Xavier University,NS,Nova Scotia,Nouvelle-Écosse,1998,The internalized perception of self and others as a basis for ethics,ethics; cross-cultural understanding; holocaust studies; self; others; self-presence,Standard Research Grants,Subventions ordinaires de recherche,Ethics,Éthique,Philosophy,Philosophie,Ethics,Éthique
1103,"Regehr, Cheryl",Applicant,16500.00,2000,University of Toronto,University of Toronto,ON,Ontario,Ontario,1998,Post-mortem reviews and trauma reactions in emergency responders,organizational stress; post-traumatic stress; social support; inquests,Standard Research Grants,Subventions ordinaires de recherche,Other Social Work,Travail social (autres),Social Work,Travail social,Employment and labour,Emploi et travail
