cle,Name-Nom,role,AwardAmount,FiscalYear-Exercice financier,Institution,Établissement,Province_ID,ProvinceEN,ProvinceFR,Competition_Year,Title,Keywords,ProgramNameEN,ProgramNameFR,DisciplineEN,DisciplineFR,MainDisciplineEN,MainDisciplineFR,Area_of_ResearchEN,Area_of_ResearchFR
9,"Brown, R. Blake",Applicant,2239.00,2002,Grantee,Bénéficiaire,NS,Nova Scotia,Nouvelle-Écosse,2001,"The transformation of the criminal trial in British North America, 1780-1867",,Queen's Fellowship - SSHRC Fund,Bourse de la Reine - fonds du CRSH,Legal History,Histoire juridique,History,Histoire,Law and justice,Droit et justice
10,"Willis, Alette J.",Applicant,21873.68,2002,Carleton University,Carleton University,ON,Ontario,Ontario,2002,Commuter challenges:  the contested space of driving to work in Ottawa and Calgary,,Queen's Fellowship - SSHRC Fund,Bourse de la Reine - fonds du CRSH,Social/Cultural Geography,Géographie sociale/culturelle,Geography,Géographie,Environment and Sustainability,Environnement et développement durable
1809,"Beaman, Lori",Applicant,17200.00,2002,The University of Lethbridge,The University of Lethbridge,AB,Alberta,Alberta,1999,Religion in Canada: creating a sociological church-state typology through an examination of court decisions,Church and state in Canada; examination of court decisions,Standard Research Grants,Subventions ordinaires de recherche,Sociology,Sociologie,Sociology,Sociologie,Law and justice,Droit et justice
1818,"Vandenbosch, Mark",Applicant,16930.00,2002,University of Western Ontario,University of Western Ontario,ON,Ontario,Ontario,1999,Product strategy in multigenerational product-markets,competitive strategy; high technology; econometric analysis; game theory,Standard Research Grants,Subventions ordinaires de recherche,Marketing,Marketing,"Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce",Management,Gestion
1858,"Harley, C. Knick",Applicant,15000.00,2002,University of Western Ontario,University of Western Ontario,ON,Ontario,Ontario,1999,Modern economic growth in open economies 1770-1914: a trade oriented view,industrial revolution; economic growth; trade theory; computational general equilibrium,Standard Research Grants,Subventions ordinaires de recherche,Economics,Science économique,Economics,Sciences économiques,"Economic, regional and industrial development","Développement économique, régional et industriel"
1865,"Pirie, Susan",Applicant,38800.00,2002,University of British Columbia,University of British Columbia,BC,British Columbia,Colombie-Britannique,1999,The nature and potential power of mathematical problem posing as a classroom activity,"Problem solving, cognitive growth, non-routine problems, interpretive methology, case study",Standard Research Grants,Subventions ordinaires de recherche,"Bilingual Education, Second Language Education","Éducation bilingue, enseignement de la langue seconde",Education,Éducation,Education,Éducation
1891,"Harvey, Frank",Applicant,16213.00,2002,Dalhousie University,Dalhousie University,NS,Nova Scotia,Nouvelle-Écosse,1999,Ethnic conflict and third party intervention: evaluating the role of coercive diplomacy in managing protracted intrastate crises,Coercive diplomacy; security and defence policy; crisis management/resolution; ethnicity,Standard Research Grants,Subventions ordinaires de recherche,Political Science,Sciences politiques,Political Science,Sciences politiques,"International relations, development and trade","Relations internationales, commerce et développement"
1925,"Knutson, Susan",Applicant,8840.00,2002,Université Sainte-Anne,Université Sainte-Anne,NS,Nova Scotia,Nouvelle-Écosse,1999,Human typologies and generic choices: why they matter,"Canadian literature discourse analysis, hermeneutics, generic theory, typology, human rights.",Standard Research Grants,Subventions ordinaires de recherche,"Literature, Other Canadian - Literary Theory","Littérature canadienne, autres - Théories littéraires","Literature, Modern Languages and",Littératures et langues modernes,Arts and culture,Beaux-arts et culture
2001,"Vertinsky, Patricia",Applicant,24850.00,2002,University of British Columbia,University of British Columbia,BC,British Columbia,Colombie-Britannique,1999,"Dis/ability, Normalcy and the Health Body",Disability; normalcy; embodiment; social construction; stigma; physical activity; exercise,Standard Research Grants,Subventions ordinaires de recherche,Physical Education,Éducation physique,Education,Éducation,Health,Santé
2081,"Campbell, Jennifer",Applicant,26000.00,2002,University of British Columbia,University of British Columbia,BC,British Columbia,Colombie-Britannique,1999,Structure of the self-concept and adjustment,Self-concept; self-concept structure and psychological adjustment,Standard Research Grants,Subventions ordinaires de recherche,Social Psychology,Psychologie sociale,Psychology,Psychologie,Other,Autre
