cle,Name-Nom,role,AwardAmount,FiscalYear-Exercice financier,Institution,Établissement,Province_ID,ProvinceEN,ProvinceFR,Competition_Year,Title,Keywords,ProgramNameEN,ProgramNameFR,DisciplineEN,DisciplineFR,MainDisciplineEN,MainDisciplineFR,Area_of_ResearchEN,Area_of_ResearchFR
10,"Willis, Alette J.",Applicant,236.84,2003,Carleton University,Carleton University,ON,Ontario,Ontario,2002,Commuter challenges:  the contested space of driving to work in Ottawa and Calgary,,Queen's Fellowship - SSHRC Fund,Bourse de la Reine - fonds du CRSH,Social/Cultural Geography,Géographie sociale/culturelle,Geography,Géographie,Environment and Sustainability,Environnement et développement durable
11,"Stephens, Christianne V.",Applicant,19000.00,2003,McMaster University,McMaster University,ON,Ontario,Ontario,2003,Culturing TB:  toward a biocultural understanding of tuberculosis in residential schools and its effect on the health of Aboriginal Canadians,Canadian Aboriginal health; tuberculosis; residential schools; epidemiology; medical anthropology,Queen's Fellowship - SSHRC Fund,Bourse de la Reine - fonds du CRSH,Anthropology,Anthropologie,Anthropology,Anthropologie,Indigenous peoples,Populations indigènes
3088,"Roberts, Jillian",Applicant,22043.00,2003,University of Victoria,University of Victoria,BC,British Columbia,Colombie-Britannique,2001,School children with congenital heart disease,Heart disease; chronic illness; health; school children; families; spcecial education; education,Standard Research Grants,Subventions ordinaires de recherche,Education,Éducation,Education,Éducation,Children,Enfance
3089,"Yarmey, Daniel",Applicant,34000.00,2003,University of Guelph,University of Guelph,ON,Ontario,Ontario,2001,Eye witness and ear witness testimony,Eye witness recall; identification; voice recognition,Standard Research Grants,Subventions ordinaires de recherche,Psychology,Psychologie,Psychology,Psychologie,Law and justice,Droit et justice
3090,"Inwood, Brad",Applicant,4700.00,2003,University of Toronto,University of Toronto,ON,Ontario,Ontario,2001,Reading Seneca:  a philosophical assessment,Philosophy; ancient; Roman; Stoicism; Hellenistic; Seneca; Stoic; ethics,Standard Research Grants,Subventions ordinaires de recherche,"Classics, Classical & Dead Languages",Études anciennes et langues classiques et mortes,"Classics, Classical & Dead Languages",Études anciennes et langues classiques et mortes,Arts and culture,Beaux-arts et culture
3091,"van den Hoonaard, Deborah",Applicant,5136.00,2003,St. Thomas University,St. Thomas University,NB,New Brunswick,Nouveau-Brunswick,2001,By himself:  the older man's transition to widowhood,Widowhood; widowers; men and aging; social process; gerontology; sociology; qualitative methods; symbolic interactionism,Standard Research Grants,Subventions ordinaires de recherche,Sociology,Sociologie,Sociology,Sociologie,Elderly,Personnes âgées
3092,"Cyr, Mary",Applicant,4080.00,2003,University of Guelph,University of Guelph,ON,Ontario,Ontario,2001,The cantatas and instrumental music of Elisabeth-Claude Jacquet de La Guerre,18th century French music; performance practice; Baroque cantatas and chamber music,Standard Research Grants,Subventions ordinaires de recherche,"Music, Musicology","Musique, Musicologie",Fine Arts,Beaux-arts,Arts and culture,Beaux-arts et culture
3093,"Antliff, Allan",Applicant,634.00,2003,University of Alberta,University of Alberta,AB,Alberta,Alberta,2001,Reconfiguring New York dada (book project),Art history; New York dada; vorticism; American modernism; english modernism; french modernism; anarchism and art; radical history; United States history; politics; gender issues,Standard Research Grants,Subventions ordinaires de recherche,Art History,Histoire de l'art,Fine Arts,Beaux-arts,Arts and culture,Beaux-arts et culture
3093,"Antliff, Allan",Applicant,6404.00,2003,University of Victoria,University of Victoria,BC,British Columbia,Colombie-Britannique,2001,Reconfiguring New York dada (book project),Art history; New York dada; vorticism; American modernism; english modernism; french modernism; anarchism and art; radical history; United States history; politics; gender issues,Standard Research Grants,Subventions ordinaires de recherche,Art History,Histoire de l'art,Fine Arts,Beaux-arts,Arts and culture,Beaux-arts et culture
3094,"Shearmur, Richard",Applicant,21375.00,2003,Institut national de la recherche scientifique,Institut national de la recherche scientifique,QC,Québec,Québec,2001,Intrametropolitan employment clusters and dynamics,Urban; economics; location; milieux,Standard Research Grants,Subventions ordinaires de recherche,Economic Geography,Géographie économique,Geography,Géographie,Economic and Regional Development,Développement économique et régional
3095,"Donaldson, Terence",Applicant,9700.00,2003,Wycliffe College,Wycliffe College,ON,Ontario,Ontario,2001,Gentilization in Judaism and early Christianity,,Standard Research Grants,Subventions ordinaires de recherche,New Testament Studies,Études du Nouveau Testament,Religious Studies,Études religieuses,Not Subject to Research Classification,Codification non pertinente
3096,"Faig, Miquel",Applicant,14175.00,2003,University of Toronto,University of Toronto,ON,Ontario,Ontario,2001,The monetary system when investment is liquidity constrained,money; liquidity; portfolio; banking; public debt; investment; credit,Standard Research Grants,Subventions ordinaires de recherche,Macroeconomics and Monetary Economics,Macroéconomie et économie monétaire,Economics,Sciences économiques,Financial and Monetary Systems,Systèmes financiers et monétaires
3097,"Mojab, Shahrzad",Applicant,20400.00,2003,University of Toronto,University of Toronto,ON,Ontario,Ontario,2001,"War, diaspra, and learning:  Kurdish women in Britain, Canada, and Sweden",Women; immigration; refugees; learning; diaspora; war; violence; globalization; nationalism,Standard Research Grants,Subventions ordinaires de recherche,Women's Studies,Études sur les femmes,Interdisciplinary Studies,Études pluridisciplinaires,Women,Femmes
